Ticker,BVPS,EPS,ROE,DivTTM,DPR,Interim,Final,ManualFairValue,LastUpdated
TLKM,1334.0,214.3,17.3,212.47,96.89,,July,0,2025-11-02 08:29:43
PTBA,1741.0,145.0,19.88,332.44,229.88,,July,0,2025-10-26 12:00:00
ADRO,2499.0,196.0,17.0,1631.71,834.3,January,June,0,2025-10-26 12:00:00
ITMG,26740.0,2645.0,17.89,2441.6,92.31,April,August,0,2025-10-29 09:45:58
KKGI,518.0,5.0,2.0,29.92,666.03,,June,0,2025-10-26 12:00:00
BSSR,1822.0,620.0,34.04,580.57,93.64,November,May,0,2025-10-29 09:39:46
PGAS,1780.0,195.0,11.08,159.98,82.04,,June,0,2025-10-29 20:42:53
SIDO,111.0,39.0,34.85,39.0,97.42,,June,0,2025-10-26 12:00:00
ROTI,302.0,23.0,15.51,79.44,342.24,,July,0,2025-10-26 12:00:00
UNTR,25684.0,4359.0,18.92,1822.5,41.81,October,May,0,2025-10-29 20:52:07
ANTM,1407.0,308.79,20.89,308.79,100.0,September,May,0,2025-10-28 22:34:21
AKRA,561.87,109.61,21.33,98.65,90.0,October,May,0,2025-10-28 22:29:46
POWR,710.0,80.97,11.47,86.78,107.17,November,May,0,2025-10-29 20:43:54
ARNA,247.03,54.87,24.83,42.25,77.0,,April,0,2025-10-28 22:38:29
SPTO,610.0,79.0,16.98,51.97,65.79,November,June,0,2025-10-29 20:46:32
TOTO,251.49,33.26,15.01,26.18,78.72,November,June,0,2025-10-29 20:49:31
TMAS,49.0,10.0,24.24,12.0,119.6,,June,0,2025-10-26 12:00:00
IPCC,738.11,139.54,18.96,134.52,96.4,,June,0,2025-10-29 09:43:09
IPCM,250.0,35.27,12.95,26.45,75.0,,June,0,2025-10-29 09:44:01
ELSA,679.0,83.0,12.26,39.11,42.42,,June,0,2025-10-26 12:00:00
TAPG,564.39,179.71,35.0,174.05,96.71,September,May,0,2025-10-29 20:47:45
SMSM,634.0,184.0,30.32,135.0,73.24,,June,0,2025-10-26 12:00:00
AUTO,3176.0,430.0,13.35,193.63,45.03,October,May,0,2025-10-29 09:38:16
HEXA,3509.0,537.0,17.53,718.99,133.89,,October,0,2025-10-29 09:41:35
MPMX,1390.0,123.62,8.49,107.81,87.21,,June,0,2025-10-29 09:49:53
TPMA,571.0,89.34,16.85,66.08,73.96,,July,0,2025-10-29 20:50:54
ASII,5609.46,806.0,15.46,406.0,52.97,October,May,0,2025-11-02 08:33:50
TOTL,360.5,111.54,29.52,94.11,84.37,,June,0,2025-10-29 20:48:46
RALS,487.0,41.79,8.57,47.37,113.35,,May,0,2025-10-29 20:45:19
LPPF,165.0,356.0,215.48,291.53,81.89,,June,0,2025-10-29 09:47:01
MARK,229.0,70.93,30.92,65.84,92.83,,July,0,2025-10-29 09:48:43
EPMT,2824.0,279.85,10.33,182.91,65.36,,June,0,2025-10-29 09:40:52
PBID,379.0,53.38,15.58,45.37,85.0,,July,0,2025-10-29 20:33:55
CLPI,1890.0,212.7,11.33,161.63,75.99,,June,0,2025-10-30 06:59:39
